key,english,notes
appTitle,Pirate Wallet,
settingsTitle,Settings,
settingsSubtitle,Security and privacy controls.,
outboundApiTitle,Outbound API Calls,
outboundApiSubtitle,Control non-lightserver internet requests,
allowNonLightserverApiCalls,Allow non-lightserver API calls,
allowNonLightserverApiCallsHelp,Master switch for all outbound connections except your configured lightwalletd server.,
livePriceFeedsTitle,Live Price Feeds,
livePriceFeedsSubtitle,CoinGecko primary + CoinMarketCap fallback for ARRR prices and fiat conversion.,
verifyBuildGithubChecksTitle,Verify Build GitHub Checks,
verifyBuildGithubChecksSubtitle,Fetches releases and checksum files from GitHub when using Verify Build.,
desktopUpdateChecksTitle,Desktop Update Checks,
desktopUpdateChecksSubtitle,Allows periodic GitHub release polling for in-app update notifications.,
disabledByMasterSwitch,Disabled by master switch,
outboundApiFeaturesSummary,"Current non-lightserver network features: live price feeds, Verify Build GitHub checks, and desktop release checks. Other wallet traffic stays on your selected lightwalletd transport.",
updateAvailableTitle,Update Available,
unknownPublishTime,Unknown publish time,
updateAvailableMessage,"A new version ({version}) is available.\nPublished: {published}\n\nChoose Update to download and install now.","Keep {version} and {published}"
updateButton,Update,
changelogButton,Changelog,
cancelButton,Cancel,
preparingUpdateInstaller,Preparing update installer...,
installerLaunchedClosing,Installer launched. Closing app to finish update...,
automaticUpdateFailedMessage,"Automatic update failed: {error}. Use Changelog to download manually.","Keep {error}"
languageTitle,Language,
languageSubtitle,Select application language,
languageSettingTitle,Language,
languageSettingSubtitle,English,
englishLanguage,English,
moreLanguagesSoon,More languages can be added by dropping translated ARB files into lib/l10n and rebuilding.
